Key,File,Type,UsedInMainMenu,NoTranslate,english
buffWithdrawalEK03UntreatedDesc,buffs,Buff,,,Being without Eye Kandy is unbearable. You need a fix now.
buffWithdrawalEK03UntreatedTooltip,buffs,Buff,,,Nothing matters but finding your fix.
buffWithdrawalEK03GetBetterName,buffs,Buff,,,Treated Severe Eye Kandy Withdrawal
buffWithdrawalEK03GetBetterDesc,buffs,Buff,,,Your normal is knowing that you have Eye Kandy flowing through your veins.

buffWithdrawalHH01UntreatedName,buffs,Buff,,,Mild Hackers Withdrawal
buffWithdrawalHH01UntreatedDesc,buffs,Buff,,, You're missing the feeling of Hackers. Try to find more.
buffWithdrawalHH01UntreatedTooltip,buffs,Buff,,,You crave for more Hackers.
buffWithdrawalHH01GetBetterName,buffs,Buff,,,Treated Mild Hackers Withdrawal
buffWithdrawalHH01GetBetterDesc,buffs,Buff,,,Your cravings subside and you start to feel more normal.

buffWithdrawalHH02UntreatedName,buffs,Buff,,,Hackers Withdrawal
buffWithdrawalHH02UntreatedDesc,buffs,Buff,,,You are suffering withdrawal from Hackers. Find more or get a Detox to cure it.
buffWithdrawalHH02UntreatedTooltip,buffs,Buff,,,Withdrawal sets in. Find more Hackers or Detox to alleviate.
buffWithdrawalHH02GetBetterName,buffs,Buff,,,Treated Hackers Withdrawal
buffWithdrawalHH02GetBetterDesc,buffs,Buff,,,"As the effects of the treatment kick in, your nerves begin to calm."

buffWithdrawalHH03UntreatedName,buffs,Buff,,,Severe Hackers Withdrawal
buffWithdrawalHH03UntreatedDesc,buffs,Buff,,,Being without Hackers is unbearable. You need a fix now.
buffWithdrawalHH03UntreatedTooltip,buffs,Buff,,,Nothing matters but finding your fix.
buffWithdrawalHH03GetBetterName,buffs,Buff,,,Treated Severe Hackers Withdrawal
buffWithdrawalHH03GetBetterDesc,buffs,Buff,,,Your normal is knowing that you have Hackers flowing through your veins.

buffWithdrawalHB01UntreatedName,buffs,Buff,,,Mild Health Bar Withdrawal
buffWithdrawalHB01UntreatedDesc,buffs,Buff,,, You're missing the feeling of Health Bar. Try to find more.
buffWithdrawalHB01UntreatedTooltip,buffs,Buff,,,You crave for more Health Bar.
buffWithdrawalHB01GetBetterName,buffs,Buff,,,Treated Mild Health Bar Withdrawal
buffWithdrawalHB01GetBetterDesc,buffs,Buff,,,Your cravings subside and you start to feel more normal.

buffWithdrawalHB02UntreatedName,buffs,Buff,,,Health Bar Withdrawal
buffWithdrawalHB02UntreatedDesc,buffs,Buff,,,You are suffering withdrawal from Health Bar. Find more or get a Detox to cure it.
buffWithdrawalHB02UntreatedTooltip,buffs,Buff,,,Withdrawal sets in. Find more Health Bar or Detox to alleviate.
buffWithdrawalHB02GetBetterName,buffs,Buff,,,Treated Health Bar Withdrawal
buffWithdrawalHB02GetBetterDesc,buffs,Buff,,,"As the effects of the treatment kick in, your nerves begin to calm."

buffWithdrawalHB03UntreatedName,buffs,Buff,,,Severe Health Bar Withdrawal
buffWithdrawalHB03UntreatedDesc,buffs,Buff,,,Being without Health Bar is unbearable. You need a fix now.
buffWithdrawalHB03UntreatedTooltip,buffs,Buff,,,Nothing matters but finding your fix.
buffWithdrawalHB03GetBetterName,buffs,Buff,,,Treated Severe Health Bar Withdrawal
buffWithdrawalHB03GetBetterDesc,buffs,Buff,,,Your normal is knowing that you have Health Bar flowing through your veins.

buffWithdrawalJB01UntreatedName,buffs,Buff,,,Mild Jail Breakers Withdrawal
buffWithdrawalJB01UntreatedDesc,buffs,Buff,,, You're missing the feeling of Jail Breakers. Try to find more.
buffWithdrawalJB01UntreatedTooltip,buffs,Buff,,,You crave for more Jail Breakers.
buffWithdrawalJB01GetBetterName,buffs,Buff,,,Treated Mild Jail Breakers Withdrawal
buffWithdrawalJB01GetBetterDesc,buffs,Buff,,,Your cravings subside and you start to feel more normal.

buffWithdrawalJB02UntreatedName,buffs,Buff,,,Jail Breakers Withdrawal
buffWithdrawalJB02UntreatedDesc,buffs,Buff,,,You are suffering withdrawal from Jail Breakers. Find more or get a Detox to cure it.
buffWithdrawalJB02UntreatedTooltip,buffs,Buff,,,Withdrawal sets in. Find more Jail Breakers or Detox to alleviate.
buffWithdrawalJB02GetBetterName,buffs,Buff,,,Treated Jail Breakers Withdrawal
buffWithdrawalJB02GetBetterDesc,buffs,Buff,,,"As the effects of the treatment kick in, your nerves begin to calm."

buffWithdrawalJB03UntreatedName,buffs,Buff,,,Severe Jail Breakers Withdrawal
buffWithdrawalJB03UntreatedDesc,buffs,Buff,,,Being without Jail Breakers is unbearable. You need a fix now.
buffWithdrawalJB03UntreatedTooltip,buffs,Buff,,,Nothing matters but finding your fix.
buffWithdrawalJB03GetBetterName,buffs,Buff,,,Treated Severe Jail Breakers Withdrawal
buffWithdrawalJB03GetBetterDesc,buffs,Buff,,,Your normal is knowing that you have Jail Breakers flowing through your veins.

buffWithdrawalNT01UntreatedName,buffs,Buff,,,Mild Nerd Tats Withdrawal
buffWithdrawalNT01UntreatedDesc,buffs,Buff,,, You're missing the feeling of Nerd Tats. Try to find more.
buffWithdrawalNT01UntreatedTooltip,buffs,Buff,,,You crave for more Nerd Tats.
buffWithdrawalNT01GetBetterName,buffs,Buff,,,Treated Mild Nerd Tats Withdrawal
buffWithdrawalNT01GetBetterDesc,buffs,Buff,,,Your cravings subside and you start to feel more normal.

buffWithdrawalNT02UntreatedName,buffs,Buff,,,Nerd Tats Withdrawal
buffWithdrawalNT02UntreatedDesc,buffs,Buff,,,You are suffering withdrawal from Nerd Tats. Find more or get a Detox to cure it.
buffWithdrawalNT02UntreatedTooltip,buffs,Buff,,,Withdrawal sets in. Find more Nerd Tats or Detox to alleviate.
buffWithdrawalNT02GetBetterName,buffs,Buff,,,Treated Nerd Tats Withdrawal
buffWithdrawalNT02GetBetterDesc,buffs,Buff,,,"As the effects of the treatment kick in, your nerves begin to calm."

buffWithdrawalNT03UntreatedName,buffs,Buff,,,Severe Nerd Tats Withdrawal
buffWithdrawalNT03UntreatedDesc,buffs,Buff,,,Being without Nerd Tats is unbearable. You need a fix now.
buffWithdrawalNT03UntreatedTooltip,buffs,Buff,,,Nothing matters but finding your fix.
buffWithdrawalNT03GetBetterName,buffs,Buff,,,Treated Severe Nerd Tats Withdrawal
buffWithdrawalNT03GetBetterDesc,buffs,Buff,,,Your normal is knowing that you have Nerd Tats flowing through your veins.

buffWithdrawalOD01UntreatedName,buffs,Buff,,,Mild Oh Shitz Drops Withdrawal
buffWithdrawalOD01UntreatedDesc,buffs,Buff,,, You're missing the feeling of Oh Shitz Drops. Try to find more.
buffWithdrawalOD01UntreatedTooltip,buffs,Buff,,,You crave for more Oh Shitz Drops.
buffWithdrawalOD01GetBetterName,buffs,Buff,,,Treated Mild Oh Shitz Drops Withdrawal
buffWithdrawalOD01GetBetterDesc,buffs,Buff,,,Your cravings subside and you start to feel more normal.

buffWithdrawalOD02UntreatedName,buffs,Buff,,,Oh Shitz Drops Withdrawal
buffWithdrawalOD02UntreatedDesc,buffs,Buff,,,You are suffering withdrawal from Oh Shitz Drops. Find more or get a Detox to cure it.
buffWithdrawalOD02UntreatedTooltip,buffs,Buff,,,Withdrawal sets in. Find more Oh Shitz Drops or Detox to alleviate.
buffWithdrawalOD02GetBetterName,buffs,Buff,,,Treated Oh Shitz Drops Withdrawal
buffWithdrawalOD02GetBetterDesc,buffs,Buff,,,"As the effects of the treatment kick in, your nerves begin to calm."

buffWithdrawalOD03UntreatedName,buffs,Buff,,,Severe Oh Shitz Drops Withdrawal
buffWithdrawalOD03UntreatedDesc,buffs,Buff,,,Being without Oh Shitz Drops is unbearable. You need a fix now.
buffWithdrawalOD03UntreatedTooltip,buffs,Buff,,,Nothing matters but finding your fix.
buffWithdrawalOD03GetBetterName,buffs,Buff,,,Treated Severe Oh Shitz Drops Withdrawal
buffWithdrawalOD03GetBetterDesc,buffs,Buff,,,Your normal is knowing that you have Oh Shitz Drops flowing through your veins.

buffWithdrawalRB01UntreatedName,buffs,Buff,,,Mild Rock Busters Withdrawal
buffWithdrawalRB01UntreatedDesc,buffs,Buff,,, You're missing the feeling of Rock Busters. Try to find more.
buffWithdrawalRB01UntreatedTooltip,buffs,Buff,,,You crave for more Rock Busters.
buffWithdrawalRB01GetBetterName,buffs,Buff,,,Treated Mild Rock Busters Withdrawal
buffWithdrawalRB01GetBetterDesc,buffs,Buff,,,Your cravings subside and you start to feel more normal.

buffWithdrawalRB02UntreatedName,buffs,Buff,,,Rock Busters Withdrawal
buffWithdrawalRB02UntreatedDesc,buffs,Buff,,,You are suffering withdrawal from Rock Busters. Find more or get a Detox to cure it.
buffWithdrawalRB02UntreatedTooltip,buffs,Buff,,,Withdrawal sets in. Find more Rock Busters or Detox to alleviate.
buffWithdrawalRB02GetBetterName,buffs,Buff,,,Treated Rock Busters Withdrawal
buffWithdrawalRB02GetBetterDesc,buffs,Buff,,,"As the effects of the treatment kick in, your nerves begin to calm."

buffWithdrawalRB03UntreatedName,buffs,Buff,,,Severe Rock Busters Withdrawal
buffWithdrawalRB03UntreatedDesc,buffs,Buff,,,Being without Rock Busters is unbearable. You need a fix now.
buffWithdrawalRB03UntreatedTooltip,buffs,Buff,,,Nothing matters but finding your fix.
buffWithdrawalRB03GetBetterName,buffs,Buff,,,Treated Severe Rock Busters Withdrawal
buffWithdrawalRB03GetBetterDesc,buffs,Buff,,,Your normal is knowing that you have Rock Busters flowing through your veins.

buffWithdrawalSC01UntreatedName,buffs,Buff,,,Mild Skull Crushers Withdrawal
buffWithdrawalSC01UntreatedDesc,buffs,Buff,,, You're missing the feeling of Skull Crushers. Try to find more.
buffWithdrawalSC01UntreatedTooltip,buffs,Buff,,,You crave for more Skull Crushers.
buffWithdrawalSC01GetBetterName,buffs,Buff,,,Treated Mild Skull Crushers Withdrawal
buffWithdrawalSC01GetBetterDesc,buffs,Buff,,,Your cravings subside and you start to feel more normal.

buffWithdrawalSC02UntreatedName,buffs,Buff,,,Skull Crushers Withdrawal
buffWithdrawalSC02UntreatedDesc,buffs,Buff,,,You are suffering withdrawal from Skull Crushers. Find more or get a Detox to cure it.
buffWithdrawalSC02UntreatedTooltip,buffs,Buff,,,Withdrawal sets in. Find more Skull Crushers or Detox to alleviate.
buffWithdrawalSC02GetBetterName,buffs,Buff,,,Treated Skull Crushers Withdrawal
buffWithdrawalSC02GetBetterDesc,buffs,Buff,,,"As the effects of the treatment kick in, your nerves begin to calm."

buffWithdrawalSC03UntreatedName,buffs,Buff,,,Severe Skull Crushers Withdrawal
buffWithdrawalSC03UntreatedDesc,buffs,Buff,,,Being without Skull Crushers is unbearable. You need a fix now.
buffWithdrawalSC03UntreatedTooltip,buffs,Buff,,,Nothing matters but finding your fix.
buffWithdrawalSC03GetBetterName,buffs,Buff,,,Treated Severe Skull Crushers Withdrawal
buffWithdrawalSC03GetBetterDesc,buffs,Buff,,,Your normal is knowing that you have Skull Crushers flowing through your veins.

buffWithdrawalSB01UntreatedName,buffs,Buff,,,Mild Sugar Butts Withdrawal
buffWithdrawalSB01UntreatedDesc,buffs,Buff,,, You're missing the feeling of Sugar Butts. Try to find more.
buffWithdrawalSB01UntreatedTooltip,buffs,Buff,,,You crave for more Sugar Butts.
buffWithdrawalSB01GetBetterName,buffs,Buff,,,Treated Mild Sugar Butts Withdrawal
buffWithdrawalSB01GetBetterDesc,buffs,Buff,,,Your cravings subside and you start to feel more normal.

buffWithdrawalSB02UntreatedName,buffs,Buff,,,Sugar Butts Withdrawal
buffWithdrawalSB02UntreatedDesc,buffs,Buff,,,You are suffering withdrawal from Sugar Butts. Find more or get a Detox to cure it.
buffWithdrawalSB02UntreatedTooltip,buffs,Buff,,,Withdrawal sets in. Find more Sugar Butts or Detox to alleviate.
buffWithdrawalSB02GetBetterName,buffs,Buff,,,Treated Sugar Butts Withdrawal
buffWithdrawalSB02GetBetterDesc,buffs,Buff,,,"As the effects of the treatment kick in, your nerves begin to calm."

buffWithdrawalSB03UntreatedName,buffs,Buff,,,Severe Sugar Butts Withdrawal
buffWithdrawalSB03UntreatedDesc,buffs,Buff,,,Being without Sugar Butts is unbearable. You need a fix now.
buffWithdrawalSB03UntreatedTooltip,buffs,Buff,,,Nothing matters but finding your fix.
buffWithdrawalSB03GetBetterName,buffs,Buff,,,Treated Severe Sugar Butts Withdrawal
buffWithdrawalSB03GetBetterDesc,buffs,Buff,,,Your normal is knowing that you have Sugar Butts flowing through your veins.

drugEyeKandyDescPlus,Items,Item,,,"Find that sparkling treasure easier with a drop of Eye Kandy. Increases loot quality. Levels 1-10) +15, Levels 11-20) +10 & 15%, Levels 21-30) +15 & 10%, Levels 31+) +10 & 10%."

drugDetox,Items,Item,,,Detox
drugDetoxDesc,Items,Item,,,"A powerful drug which treats withdrawal from most drugs. (Not FDA approved)"

drugVitaminsDescPlus,Items,Item,,,These vitamins treat Fatigue and prevent you from catching Fatigue or Dysentery. They also enhance the effects of almost anything consumed.

drugPainkillersDescPlus,Items,Item,,,You took painkillers. Stuns will affect you less now. (May cause addiction)

medicalAntibioticOintment,Items,Item,,,Antibiotic Ointment
medicalAntibioticOintmentDesc,Items,Item,,,A topical cream for treating infections.

medicalFirstAidKitEMT,Items,Item,,,EMT Medical Kit
medicalFirstAidKitEMTDesc,Items,Item,,,A compact kit containing all necessary tools for first responders.
medicalFirstAidKitEMTSchematic,Items,Item,,,EMT Medical Kit Schematic

medicalFirstAidKitSimple,Items,Item,,,Simple First Aid Kit
medicalFirstAidKitSimpleDesc,Items,Item,,,A rudementary collection of household treatments. Doesn't seem very clean.
medicalFirstAidKitSimpleSchematic,Items,Item,,, Simple First Aid Kit Schematic

medicalFirstAidKitTrauma,Items,Item,,,Trauma Kit
medicalFirstAidKitTraumaDesc,Items,Item,,,A complete set of medical items to treat all injuries.
medicalFirstAidKitTraumaSchematic,Items,Item,,,Trauma Kit Schematic

medicalIsopropylAlcohol,Items,Drink,,,Isopropyl Alcohol
medicalIsopropylAlcoholDesc,Items,Drink,,,A concentrated alcohol for sterilazation. Try using it on a fresh wound.

medicalSterileBandage,Items,Medical,,,Sterile Bandage
medicalSterileBandageDesc,Items,Medical,,,A sterilized bandage for treating lacerations and bleeds. Still carries a small risk of infection.

medicalBrace,Items,Medical,,,Medical Brace
medicalBraceDesc,Items,Medical,,,A multi-use brace to support sprained limbs. Can be used on arms or legs.

resourceGauze,Items,Item,,,Gauze
resourceGauzeDesc,Items,Item,,,"A fluffy, cotton-based material to help stop bleeding."

resourceSewingKitDescPlus,items,Item,,,"Use to craft clothing, armor, and make modifications to them. Can also be used to treat bleeding and lacerations. It's going to hurt and likely cause an infection."

resourceSutureKit,Items,Item,,,Suture Kit
resourceSutureKitDesc,Items,Item,,,A sterile needle and surgical thread.

statBlockDmg,ui_display,Item stat,,,Block Damage
statDetox,ui_display,Item stat,,,All Withdrawals
statDismemberChance,ui_display,Item stat,,,Dismember Chance
statHarvestXP,ui_display,Item stat,,,Harvest Experience
statJumpHeightPlus,ui_display,Item stat,,,Jump Height
statLockpickSpeed,ui_display,Item stat,,,Lockpicking Speed
statLootTime,ui_display,Item stat,,,Time to Loot
statMaxBlocked,ui_display,Item stat,,,Max Stat Blockage
statNoise,ui_display,Item stat,,,Noise
statReloadSpeed,ui_display,Item stat,,,Reload Speed
statStaminaMax,ui_display,Item stat,,,Max Health Bonus
statStaminaMax,ui_display,Item stat,,,Max Stamina Bonus
statSwingStamins,ui_display,Item stat,,,Stamina per Swing
