Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / 
ammoCrossbowBoltAluminiumStoneDesc,items,Ammo,,,A Aluminium stone-tipped crossbow bolt. Hold reload to use alternate ammo.,,
ammoCrossbowBoltAluminiumIron,items,Ammo,,,Aluminium Iron Crossbow Bolt (Ammo),,
ammoCrossbowBoltAluminiumIronDesc,items,Ammo,,,A Aluminium iron-tipped bolt for the crossbow. Hold reload to use alternate ammo.,,
ammoCrossbowBoltAluminiumSteelAP,items,Ammo,,,Aluminium Steel Crossbow Bolt (Ammo),,
ammoCrossbowBoltAluminiumSteelAPDesc,items,Ammo,,,A Aluminium Steel-tipped bolts do yet more damage and fly straighter.\nHold reload to use alternate ammo.,,
ammoCrossbowBoltAluminiumCarbonSteelAP,items,Ammo,,,Aluminium Carbon Steel Crossbow Bolt (Ammo),,
ammoCrossbowBoltAluminiumCarbonSteelAPDesc,items,Ammo,,,A Aluminium Carbon Steel-tipped bolts do yet more damage and fly straighter than Steel Bolts.\nHold reload to use alternate ammo.,,
ammoCrossbowBoltFiberStone,items,Ammo,,,Carbon Fiber Stone Crossbow Bolt (Ammo),,
ammoCrossbowBoltFiberStoneDesc,items,Ammo,,,A Carbon Fiber stone-tipped crossbow bolt. Hold reload to use alternate ammo.,,
ammoCrossbowBoltFiberIron,items,Ammo,,,Carbon Fiber Iron Crossbow Bolt (Ammo),,
ammoCrossbowBoltFiberIronDesc,items,Ammo,,,A Carbon Fiber iron-tipped bolt for the crossbow. Hold reload to use alternate ammo.,,
ammoCrossbowBoltFiberSteelAP,items,Ammo,,,Carbon Fiber Steel Crossbow Bolt (Ammo),,
ammoCrossbowBoltFiberSteelAPDesc,items,Ammo,,,A Carbon Fiber Steel-tipped bolts do yet more damage and fly straighter.\nHold reload to use alternate ammo.,,
ammoCrossbowBoltFiberCarbonSteelAP,items,Ammo,,,Carbon Fiber Carbon Steel Crossbow Bolt (Ammo),,
ammoCrossbowBoltFiberCarbonSteelAPDesc,items,Ammo,,,A Carbon Fiber Carbon Steel-tipped bolts do yet more damage and fly straighter than Steel Bolts.\nHold reload to use alternate ammo.,,

resourceBoltHeadIron,items,item,,,Iron Bolthead,,
resourceBoltHeadIronDesc,items,item,,,An iron bolthead used to craft iron bolts.,,
resourceBoltHeadSteelAP,items,item,,,Steel Bolthead,,
resourceBoltHeadSteelAPDesc,items,item,,,An steel bolthead used to craft Targetpoint steel bolts.,,
resourceBoltHeadCarbonAP,items,item,,,Carbon Steel Bolthead,,
resourceBoltHeadCarbonAPDesc,items,item,,,An Carbon Steel bolthead used to craft Carbon Fiber bolts.,,

resourceResin,items,item,,,Bottle of Resin,,
resourceResinDesc,items,item,,,An high end liquid used in the creation of Carbon Fiber.,,
resourceForgedCarbonSteel,items,item,,,Forged Carbon Steel,,
resourceForgedCarbonSteelDesc,items,item,,,An high end Metal compound used in the creation of Carbon Weaponry.,,
resourceCarbonFiber,items,item,,,Carbon Fiber,,
resourceCarbonFiberDesc,items,item,,,An high end Fiber used in the creation of Carbon Weaponry.,,
resourceAluminium,items,item,,,Aluminium,,
resourceAluminiumDesc,items,item,,,An Mid tier Metal compound used in the creation of Aluminium Weaponry.,,

gunBowT1WoodenBowParts,items,Gun,,,Bow / Crossbow Parts,,
gunBowT1WoodenBowPartsDesc,items,item,,,Scrap Weapons to aquire this item,/nalternatively these are Unlocked at level 2 Archery to allow crafting of them.,,
gunBowT3HighPoweredCompoundParts,items,item,,,High Powered Compound Parts,,
gunBowT3HighPoweredCompoundPartsDesc,items,item,,,An high end Bow part used in the creation of Carbon Weaponry.\nUnlocked at level 4 Archery.,,

resourceWoodShaft,items,item,,,Wooden Arrow Shaft,,
resourceWoodShaftDesc,items,item,,,A Wooden arrow shaft used to craft Wooden Arrows.,
resourceAluminiumShaft,items,item,,,Aluminium Arrow Shaft,,
resourceAluminiumShaftDesc,items,item,,,A Aluminium arrow shaft used to craft Aluminium Arrows.,
resourceCarbonFiberShaft,items,item,,,Carbon Fiber Arrow Shaft,,
resourceCarbonFiberShaftDesc,items,item,,,A Carbon Fiber arrow shaft used to craft Carbon Arrows.,
resourceWoodBoltShaft,items,item,,,Wooden Bolt Shaft,,
resourceWoodBoltShaftDesc,items,item,,,A Wooden bolt shaft used to craft Wooden Bolts.,
resourceAluminiumBoltShaft,items,item,,,Aluminium Bolt Shaft,,
resourceAluminiumBoltShaftDesc,items,item,,,A Aluminium bolt shaft used to craft Aluminium Bolts.,
resourceCarbonFiberBoltShaft,items,item,,,Carbon Fiber Bolt Shaft,,
resourceCarbonFiberBoltShaftDesc,items,item,,,A Carbon Fiber bolt shaft used to craft Carbon Bolts.,

gunBowFletcherSchematic,items,GunBow,,,Fletchers Bow Schematic,,
gunBowRecurveSchematic,items,GunBow,,,Recurve Bow Schematic,,
gunBowHybridCamCompoundSchematic,items,GunBow,,,Hybrid Cam Compound Bow Schematic,,
gunBowRecurveCrossbowSchematic,items,GunBow,,,Recurve Crossbow Schematic,,
gunBowHybridCamCompoundCrossbowSchematic,items,GunBow,,,Hybrid Cam Compound Crossbow Schematic,,
modGunBowMiniLegolasMagExtenderSchematic,item_modifiers,Mod,,,Mini Legolas Mod Schematic,,
modGunBowLegolasMagExtenderSchematic,item_modifiers,Mod,,,Legolas Mod Schematic,,
modGunBowMiniCrossbowLegolasMagExtenderSchematic,item_modifiers,Mod,,,Mini Legolas Crossbow Mod Schematic,,
modGunBowCrossbowLegolasMagExtenderSchematic,item_modifiers,Mod,,,Legolas Crossbow Mod Schematic,,
resourceCarbonFiberSchematic,items,Resource,,,Carbon Fiber Schematic,,

modGunBowMiniLegolasMagExtender,item_modifiers,mod,,,Mini Legolas Arrow Capacity Mod,,
modGunBowMiniLegolasMagExtenderDesc,item_modifiers,mod,,,Increases Arrow capacity. Allows an extra arrow to be ready to fire before having to reload.,,
modGunBowLegolasMagExtender,item_modifiers,mod,,,Legolas Arrow Capacity Mod,,
modGunBowLegolasMagExtenderDesc,item_modifiers,mod,,,Increases Arrow capacity. Allows an extra 4 arrows to be ready to fire before having to reload. Can only be used in the Hybrid Cam Compound Bow.,,

modGunBowMiniCrossbowLegolasMagExtender,item_modifiers,mod,,,Mini Legolas Bolt Capacity Mod,,
modGunBowMiniCrossbowLegolasMagExtenderDesc,item_modifiers,mod,,,Increases Bolt capacity. Allows an extra Bolt to be ready to fire before having to reload.,,
modGunBowCrossbowLegolasMagExtender,item_modifiers,mod,,,Legolas Bolt Capacity Mod,,
modGunBowCrossbowLegolasMagExtenderDesc,item_modifiers,mod,,,Increases Bolt capacity. Allows an extra 2 Bolts to be ready to fire before having to reload. Can only be used in the Hybrid Cam Compound Crossbow.,,

gunBowT0PrimitiveBow,items,Gun,,,Primitive Bow,,
gunBowT0PrimitiveBowDesc,items,Gun,,,Good for hunting and killing zombies. Uses Wooden arrows for ammunition.\nHold reload to use alternate ammo.\n\nRepair with Wood.\nScrap to Wood.,,
gunBowT1WoodenBow,items,Gun,,,Wooden Bow,,
gunBowT1WoodenBowDesc,items,Gun,,,Good for hunting and killing zombies. Uses Wooden and Aluminium arrows for ammunition.\nHold reload to use alternate ammo.\n\nRepair with a Repair Kit.\nScrap to Bow / Crossbow Parts.,,
gunBowT3CompoundBow,items,Gun,,,Compound Bow,,
gunBowT3CompoundBowDesc,items,Gun,,,A compound bow does more damage and arrows fly straighter which makes it easier to aim. Uses Wooden and Aluminium arrows.\n\nRepair with a Repair Kit.\nScrap to Bow / Crossbow Parts.,,

gunBowFletcher,items,GunBow,,,Fletchers Bow,
gunBowFletcherDesc,items,GunBow,,,Good for hunting and killing zombies. Uses Wooden and Aluminium Arrows for ammunition.\nHold reload to use alternate ammo.\n\nRepair with Wood.\nScrap to Wood.,,
gunBowRecurve,items,GunBow,,,Recurve Bow,,
gunBowRecurveDesc,items,GunBow,,,Good for hunting and killing zombies. Uses Steel and Carbon Steel tipped Wooden, Aluminium, Stone and Iron Tipped Carbon Fiber Arrows for ammunition.\nHold reload to use alternate ammo.\n\nRepair with a Repair Kit.\nScrap to Bow / Crossbow Parts.,,
gunBowHybridCamCompound,items,GunBow,,,Hybrid Cam Compound Bow,,
gunBowHybridCamCompoundDesc,items,GunBow,,,A compound bow does more damage and arrows fly straighter which makes it easier to aim. Uses Aluminium and Carbon Fiber Arrows for ammunition.\nHold reload to use alternate ammo.\n\nRepair with a Repair Kit.\nScrap to Bow / Crossbow Parts.,,

gunBowPrimitiveCrossbow,items,Gun,,,Primitive Crossbow,,
gunBowPrimitiveCrossbowDesc,items,Gun,,,A crossbow is slow to reload but does more damage than a bow.\nThe primitive Crossbow is slower and more cumbersome than other Crossbows, but doesnt have a requirement to build.\nThis weapon can be fired underwater.\nHold reload to use alternate ammo.\nRepair with a Wood.\nScrap to Bow / Crossbow Parts.,,
gunBowRecurveCrossbow,items,Gun,,,Recurve Crossbow,,
gunBowRecurveCrossbowDesc,items,Gun,,,A crossbow is slow to reload but does more damage than a bow.\nThis weapon can be fired underwater.\nHold reload to use alternate ammo.\nRepair with a Wood.\nScrap to Bow / Crossbow Parts.,,
gunBowHybridCamCompoundCrossbow,items,Gun,,,Hybrid Cam Compound Crossbow,,
gunBowHybridCamCompoundCrossbowDesc,items,Gun,,,A crossbow is slow to reload but does more damage than a bow.\nThis weapon can be fired underwater.\nHold reload to use alternate ammo.\nRepair with a Wood.\nScrap to Bow / Crossbow Parts.,,

perkArcheryDesc,progression,perk Agi,,,Master the use of bows and crossbows.,,
perkArcheryName,progression,perk Agi,,,Archery,,
perkArcheryRank1Desc,progression,perk Agi,,,Bowman,,
perkArcheryRank1LongDesc,progression,perk Agi,,,"Many start on the path of the ranger but few can reach it. Craft quality 2 poor bows, deal 10% more damage, 10% faster aim, draw and reload with bows.\n\nUnlocks the Fletcher's Bow, Wooden Bow and Iron Crossbow crafting.",,
perkArcheryRank2Desc,progression,perk Agi,,,Archer,,
perkArcheryRank2LongDesc,progression,perk Agi,,,"You still have much to learn, grasshopper. Craft quality 3 fair bows, deal 20% more damage, 20% faster aim, draw and reload with bows.\n\nUnlocks craftable Bow Parts.",,
perkArcheryRank3Desc,progression,perk Agi,,,Marksman,,
perkArcheryRank3LongDesc,progression,perk Agi,,,"All the rigorous training has turned you into a marksman with Bows. Craft quality 4 good bows, deal 30% more damage, 30% faster aim, draw and reload with bows.\n\nUnlocks Recurve Bow and the Recurve Crossbow.",,
perkArcheryRank4Desc,progression,perk Agi,,,Hairsplitter,,
perkArcheryRank4LongDesc,progression,perk Agi,,,"You can split a hair you are so good at archery now. Craft quality 5 great bows, deal 40% more damage, 40% faster aim, draw and reload with bows.\n\nUnlocks High Powered Compound Parts, Carbon Fiber and Carbon Fiber Arrows.",,
perkArcheryRank5Desc,progression,perk Agi,,,Ranger,,
perkArcheryRank5LongDesc,progression,perk Agi,,,"You have mastered archery and are now a ranger. Deal 50% more damage, 50% faster aim, draw and reload with bows.\n\nUnlocks Hybrid Cam Compound Bow and the Hybrid Cam Compound Crossbow.",,
perkAdvancedEngineeringName,progression,perk Int,,,Advanced Engineering,,
perkAdvancedEngineeringRank1Desc,progression,perk Int,,,Blacksmith,,
perkAdvancedEngineeringRank1LongDesc,progression,perk Int,,,You are now a blacksmith and able to forge iron and other metal objects. Craft forges and craft items with them 20% faster. Craft glue cheaper.,,
perkAdvancedEngineeringRank2Desc,progression,perk Int,,,Tinkerer,,
perkAdvancedEngineeringRank2LongDesc,progression,perk Int,,,Your tinkering is proving useful in the apocalypse. Craft workbenches and cement mixers and craft items with them 20% faster.,,
perkAdvancedEngineeringRank3Desc,progression,perk Int,,,Electrician,,
perkAdvancedEngineeringRank3LongDesc,progression,perk Int,,,"You are now an electrician. Learn to craft generators, and build advanced base defense systems such as electric fences & blade traps. Craft military fiber. Gain 20% XP from electrical trap kills.\nEfficient craftsman. All forge recipes cost 10% less, crafting Forged Steel and electrical devices costs 15% less.",,
perkAdvancedEngineeringRank4Desc,progression,perk Int,,,Inventor,,
perkAdvancedEngineeringRank4LongDesc,progression,perk Int,,,"Learn to craft shotgun turrets for short range concentrated base defense, battery banks and nail guns. Gain 35% XP from electrical trap kills.\nAll forge recipes cost 15% less, crafting Forged Steel and electrical devices costs 25% less.",,
perkAdvancedEngineeringRank5Desc,progression,perk Int,,,Advanced Engineer,,
perkAdvancedEngineeringRank5LongDesc,progression,perk Int,,,"Learn to craft SMG auto turrets for the best ranged base defense, and crucibles to forge steel in forges. Gain 50% XP from Electrical Trap Kills.\nAll forge recipes cost 20% less, crafting Forged Steel and electrical devices costs 35% less.",,
