Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
Colt1911Desc,items,Gun,New,Powerful iconic pistol that uses 45 ACP Ammo (.44 magnum ammo).\n\nRepair with a Repair Kit.\nScrap to Pistol Parts.,,,,,
Glock40,items,Gun,New,Glock 40 Pistol,,,,,
Glock40Desc,items,Gun,New,Fast SemiAutomatic pistol that uses 9mm ammo.\n\nRepair with a Repair Kit.\nScrap to Pistol Parts.,,,,,
HK USP,items,Gun,New,H&K USP Pistol,,,,,
USPDesc,items,Gun,New,Powerfull SemiAutomatic pistol that uses 9mm ammo.\n\nRepair with a Repair Kit.\nScrap to Pistol Parts.,,,,,
P226,items,Gun,New,P226 Pistol,,,,,
P226Desc,items,Gun,New,SemiAutomatic Pistol that uses 9mm ammo.\n\nRepair with a Repair Kit.\nScrap to Pistol Parts.,,,,,
Beretta M9,items,Gun,New,Beretta M9 Pistol,,,,,
M9Desc,items,Gun,New,SemiAutomatic Pistol that uses 9mm ammo.\n\nRepair with a Repair Kit.\nScrap to Pistol Parts.,,,,,
Beretta M92,items,Gun,New,Beretta M92r Pistol,,,,,
M92Desc,items,Gun,New,3 Rounds Burst Pistol that uses 9mm ammo.\n\nRepair with a Repair Kit.\nScrap to Pistol Parts.,,,,,

M16,items,Gun,New,M16 Assault Rifle,,,,,
M16Desc,items,Gun,New,Automatic Assault Rifle that uses 7.62mm Ammo.\n3 rounds burst\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
ARX160,items,Gun,New,ARX-160 Assault Rifle,,,,,
ARX160Desc,items,Gun,New,Automatic Assault Rifle that uses 7.62mm Ammo.\n3 rounds burst\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
SCAR,items,Gun,New,SCAR Assault Rifle,,,,,
SCARDesc,items,Gun,New,Automatic Assault Rifle that uses 7.62mm Ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
M4A1,items,Gun,New,M4-A1 Assault Rifle,,,,,
M4A1Desc,items,Gun,New,Automatic Assault Rifle that uses 7.62mm Ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
ACWR,items,Gun,New,ACW-R Assault Rifle,,,,,
ACWRDesc,items,Gun,New,Automatic Assault Rifle that uses 7.62mm Ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
FNFAL,items,Gun,New,FNFAL Assault Rifle,,,,,
FNFALDesc,items,Gun,New,SemiAutomatic Assault Rifle that uses 7.62mm Ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,
M240,items,Gun,New,M240 Machine Gun,,,,,
M240Desc,items,Gun,New,Automatic Machine Gun that uses 7.62mm Ammo.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.,,,,,

KSG12,items,Gun,New,KSG-12 Pump Shotgun,,,,,
KSG12Desc,items,Gun,New,Powerful Pump Shotgun that uses all Shell Types.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,
SPAS12,items,Gun,New,SPAS-12 Automatic Shotgun,,,,,
SPAS12Desc,items,Gun,New,Automatic Shotgun that uses all Shell Types.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,
Winchester,items,Gun,New,Winchester Shotgun,,,,,
WinchesterDesc,items,Gun,New,Powerful Shotgun that uses all Shell Types.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,,,,

JNG90,items,Gun,New,JNG90 Sniper Rifle,,,,,
JNG90Desc,items,Gun,New,Powerful Bolt-action rifle that uses 7.62mm ammo.\n\nRepair with a Repair Kit.\nScrap to Hunting Rifle Parts.,,,,,
M98,items,Gun,New,M98 Sniper Rifle,,,,,
M98Desc,items,Gun,New,Powerful Bolt-action rifle that uses 7.62mm ammo.\n\nRepair with a Repair Kit.\nScrap to Hunting Rifle Parts.,,,,,
M1garand,items,Gun,New,M1 garand Rifle,,,,,
M1Desc,items,Gun,New,Old and legendary SemiAutomatic rifle that uses 7.62mm ammo.\n\nRepair with a Repair Kit.\nScrap to Hunting Rifle Parts.,,,,,
SR25,items,Gun,New,SR-25 Marksman Rifle,,,,,
SR25Desc,items,Gun,New,SemiAutomatic Marksman rifle that uses 7.62mm ammo.\n\nRepair with a Repair Kit.\nScrap to Hunting Rifle Parts.,,,,,

ammo50BMGBulletBall,items,Ammo,New,.50 BMG Round,,,,,
50bbDesc,items,Ammo,New,50 Caliber BMG Ammo\nStandard Ammunition that can penetrate targets.,,,,,
ammo50BMGAP,items,Ammo,New,.50 BMG Armor-Piercing Round,,,,,
50APDesc,items,Ammo,New,50 Caliber Armor-Piercing Ammo\nArmor Piercing Ammunition that can penetrate targets and reduce their Armor by 50%.,,,,,
ammo50BMGIncendiary,items,Ammo,New,.50 BMG Incendiary Round,,,,,
50INDesc,items,Ammo,New,50 Caliber Incendiary Ammo\nIncendiary Ammunition that set targets on Fire.,,,,,
ammo40mmExplosive,items,Ammo,New,40mm Grenade,,,,,
40mmDesc,items,Ammo,New,This 40mm Explosive Grenade requires a launcher,,,,,
ammo40mmIncendiary,items,Ammo,New,40mm Incendiary Grenade,,,,,
40mmIncDesc,items,Ammo,New,This 40mm Incendiary Grenade requires a launcher,,,,,

ammoBundle50BMGBulletBall,items,Ammo,New,.50 BMG Round Bundle,,,,,
ammoBundle50BMGAP,items,Ammo,New,.50 BMG Armor-Piercing Round Bundle,,,,,
ammoBundle50BMGIncendiary,items,Ammo,New,.50 BMG Incendiary Round Bundle,,,,,

M79GL40Schematic,items,Ammo,New,M79 GL40 Schematic,,,,,
50BMGBulletBallSchematic,items,Ammo,New,.50BMG BulletBall Schematic,,,,,
50BMGAPSchematic,items,Ammo,New,.50BMG AP Schematic,,,,,
50BMGIncendiarySchematic,items,Ammo,New,.50BMG Incendiary Schematic,,,,,


ammo556BulletBall,items,Ammo,New,5.56mm Ammo,,,,,
ammo556AP,items,Ammo,New,AP 5.56mm Ammo,,,,,
ammo556HP,items,Ammo,New,HP 5.56mm Ammo,,,,,
556bbDesc,items,Ammo,New,A regular 5.56mm round used as firearm ammunition.\nCan be crafted at a workbench,,,,,

ammoBundle556BulletBall,items,Ammo,New,Box of 5.56mm Ammo,,,,,
ammoBundle556AP,items,Ammo,New,Box of AP 5.56mm Ammo,,,,,
ammoBundle556HP,items,Ammo,New,Box of HP 5.56mm Ammo,,,,,

bookAutoWeaponsHPAmmo,items,Ammo,New,Automatic Weapons Handbook Vol 4,,,,,
perkAutoWeaponsHPAmmoDesc,items,Ammo,New,Learn to craft HP 5.56mm ammunition.,,,,,
perkAutoWeaponsHPAmmoLongDesc,items,Ammo,New,HiPower Ammunition: Learn to craft HP 5.56mm ammunition.,,,,,

bookAutoWeaponsAPAmmo,items,Ammo,New,Automatic Weapons Handbook Vol 7,,,,,
perkAutoWeaponsAPAmmoDesc,items,Ammo,New,Learn to craft AP 5.56mm ammunition.,,,,,
perkAutoWeaponsAPAmmoLongDesc,items,Ammo,New,Armor Piercing Ammunition: Learn to craft AP 5.56mm ammunition.,,,,,



